REGION,FUEL,YEAR,VALUE
REGION1,AGRDSL,2020,14.88
REGION1,AGRELCB02,2020,0
REGION1,AGRNGS,2020,0
REGION1,AGRWATBC1,2020,0
REGION1,BIO,2020,0
REGION1,COA,2020,0
REGION1,COMBIO,2020,0.12
REGION1,COMELCB02,2020,0
REGION1,COMKER,2020,10.57
REGION1,COMNGS,2020,84.05
REGION1,CRPALF,2020,1.379
REGION1,CRPBAR,2020,0.062
REGION1,CRPMAI,2020,0.364
REGION1,CRPOAT,2020,0.058
REGION1,CRPOTH,2020,0.272
REGION1,CRPPEA,2020,0.031
REGION1,CRPPTW,2020,0.00011
REGION1,CRPRAP,2020,0.056
REGION1,CRPRYE,2020,0.0017
REGION1,CRPWHE,2020,0.051
REGION1,CRU,2020,0
REGION1,DSL,2020,0
REGION1,ELCB01,2020,0
REGION1,ELCB02,2020,0
REGION1,GEO,2020,0
REGION1,GSL,2020,0
REGION1,HFO,2020,0
REGION1,HYD,2020,0
REGION1,INDBIO,2020,160.04
REGION1,INDDSL,2020,108.46
REGION1,INDELCB02,2020,0
REGION1,INDNGS,2020,224.86
REGION1,JFL,2020,0
REGION1,KER,2020,0
REGION1,LALFHIBC1,2020,0
REGION1,LALFHRBC1,2020,0
REGION1,LALFIIBC1,2020,0
REGION1,LALFIRBC1,2020,0
REGION1,LALFLRBC1,2020,0
REGION1,LBARBC1,2020,0
REGION1,LBC1,2020,0
REGION1,LBLTBC1,2020,0
REGION1,LBRLHIBC1,2020,0
REGION1,LBRLHRBC1,2020,0
REGION1,LBRLIIBC1,2020,0
REGION1,LBRLIRBC1,2020,0
REGION1,LBRLLRBC1,2020,0
REGION1,LFORBC1,2020,0
REGION1,LGRSBC1,2020,0
REGION1,LMAIHIBC1,2020,0
REGION1,LMAIHRBC1,2020,0
REGION1,LMAIIIBC1,2020,0
REGION1,LMAIIRBC1,2020,0
REGION1,LMAILRBC1,2020,0
REGION1,LND4PWR,2020,3.689
REGION1,LOATHIBC1,2020,0
REGION1,LOATHRBC1,2020,0
REGION1,LOATIIBC1,2020,0
REGION1,LOATIRBC1,2020,0
REGION1,LOATLRBC1,2020,0
REGION1,LOTHBC1,2020,0
REGION1,LOTHHIBC1,2020,0
REGION1,LOTHHRBC1,2020,0
REGION1,LOTHIIBC1,2020,0
REGION1,LOTHIRBC1,2020,0
REGION1,LOTHLRBC1,2020,0
REGION1,LPEAHIBC1,2020,0
REGION1,LPEAHRBC1,2020,0
REGION1,LPEAIIBC1,2020,0
REGION1,LPEAIRBC1,2020,0
REGION1,LPEALRBC1,2020,0
REGION1,LPG,2020,0
REGION1,LPTWHIBC1,2020,0
REGION1,LPTWHRBC1,2020,0
REGION1,LPTWIIBC1,2020,0
REGION1,LPTWIRBC1,2020,0
REGION1,LPTWLRBC1,2020,0
REGION1,LRAPHIBC1,2020,0
REGION1,LRAPHRBC1,2020,0
REGION1,LRAPIIBC1,2020,0
REGION1,LRAPIRBC1,2020,0
REGION1,LRAPLRBC1,2020,0
REGION1,LRYEHIBC1,2020,0
REGION1,LRYEHRBC1,2020,0
REGION1,LRYEIIBC1,2020,0
REGION1,LRYEIRBC1,2020,0
REGION1,LRYELRBC1,2020,0
REGION1,LWATBC1,2020,0
REGION1,LWHEHIBC1,2020,0
REGION1,LWHEHRBC1,2020,0
REGION1,LWHEIIBC1,2020,0
REGION1,LWHEIRBC1,2020,0
REGION1,LWHELRBC1,2020,0
REGION1,NGS,2020,0
REGION1,PUBWATBC1,2020,0.85
REGION1,PWRBIO,2020,0
REGION1,PWRGEO,2020,0
REGION1,PWRHYD,2020,0
REGION1,PWRNGS,2020,0
REGION1,PWRSOL,2020,0
REGION1,PWRURN,2020,0
REGION1,PWRWATBC1,2020,0
REGION1,PWRWND,2020,0
REGION1,RESBIO,2020,12.98
REGION1,RESELCB02,2020,0
REGION1,RESKER,2020,0.84
REGION1,RESNGS,2020,81.96
REGION1,SOL,2020,0
REGION1,TRABIO,2020,23.33
REGION1,TRADSL,2020,98.81
REGION1,TRAELCB02,2020,0
REGION1,TRAGSL,2020,153.58
REGION1,TRAHFO,2020,10.69
REGION1,TRAJFL,2020,39.54
